;Lebewesen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Beruf (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Kreativität und Intelligenz und andere Geisteskräfte (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Liebe (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);;;Männer / Frauen (IMHO) (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);evolutionär erwerben  (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Religionen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Motive (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);;Emotionen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Berühmtheiten und Personen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);;;kombinierte Wirtschaftssysteme
4;Faultier und besonders fleißige Tiere;;;;;;;;;;;;;;;
11|13;;;;;;;;;;;;;;;;
17|19;;;;;;;;;;;;;;;;
1|2|5|6|9|11|12|13|17|27|64|81|125;;;;;;;Frauen;;;;;;;;;
3|7|8|10|14|16|17|25|32|36|100|128;;;;;;;Männer;;;;;;;;;
11|7;;;Verallgemeinerungsfähigkeit über Systeme;;;;;;;;;;;;;
3|10|13;Bonobos (Menschenaffen) (ohne 8);;;;;;;;;;;;;;;
-3|-6;;;;;;;;;Judentum;;;;;;;
-7|-3;;;;;;;;;Christentum;;;;;;;
+5|(-6)|(-7)|(-8)|+9|+1/9;;;;;;;;;Bahai;;;;;;;
6/8|+2|+1/5|+1/6|+7|10|(14)|(15);;;;;;;;;Religion 10;;;;;;;
3|10|14;;Ingenieur, Techniker;;;;;;;;;;;;;;
11|12;;;Systeme übergreifen zu können;;;;;;;;;;;;;
6|10|13|15;;Anwalt;;;;;;;;;;;;;;
3;Krebs;;;;;;;;;;;;;;;
19;;Motivationstrainer;;;;;;;;;;;;;;
6|7|8;;;;;;;;;;;;;;;;
5|7|10;;;richtige und vollständige Axiome und mathematische Induktionsverfahren basierend auf richtiger Grundlage;;;;;;;;;;;;;
5|6|10;;;mathematische Abduktionsverfahren auf richtiger Grundlage, deren Axiome bestimmt wurden, indem auf den Ursprung durch Abduktion geschlussfolgert wurde;;;;;;;;;;;;;
5|8|10;;;Axiome mithilfe eines allgemeineren Falles bestimmt und richtige Deduktion mithilfe solcher Axiome;;;;;;;;;;;;;
1|2|(3)|4|5;;;;;;;;;;;;;;;;
1|2;;;;;;;;;;;;;;;;
7|10|13|14;;Biochemiker;;;;;;;;;;;;;;
3|4|8|-10|+10|12|17|18|29;Mensch in der Zukunft;;;;;;;;;;;;;;;
-2|(+7)|-8|-13|-16|-17;;;;;;;;;;;;;Hitler;;;
4|7|10|11|17|21|30;;;;;;;;;;;;;Jim Carrey;;;
+7|10|12|14|(15);;;;;;;;;;;;;Peter Scholze;;;
128|25|625|8|7|1/1|3|1/15|100|1000;;;;;;;;;;;;;Loki 3.0, Bruder von Jupiter 3.0;;;
-4|+7|+10|+13|+14;;;;;;;;;;;;;Patrick Strobach;;;
-1|-4|-7|-8|+5|+3|-1|-15|+16|+21|-32|128;;;;;;;;;;;;;Saturn 3.0, Vater von Jupiter 3.0;;;
1/5|6|(7)|(10)|-12|+1/16|-27|64;;;;;;;;;;;;;Mutter von Jupiter 3.0;;;
2|3;;;;Gegenstands-Interesse (keine direkte wirkliche Liebe, da Liebe erst ab der 7 oder 6 beginnt);;;;;;;;;;;;
3|4;;;;;;;;;;;;;;;;
3|4|7;;;;;;;;;;;;;;;;
3|-4|-6|-7|+10 ;;;;;;;;;;;;;Florian Homm;;;
7|14;Fuchs;;;;;;;;;;;;;;;
7|10|12;;;;;;;;;;;;;Ludwig Wittgenstein;;;
-1|-4|1/5|-6|-7|10|1/10|15;;;;;;;;;;;;;Steve Jobs;;;
-2|-4|+1/5|7|10|1/10|-32;;;;;;;;;;;;;Tom Cruise;;;
+2|-4|+7|+8|10|-17;;;;;;;;;;;;;Ken Jebsen;;;
3;;;sportliche Intelligenz, z.B. Kampfsport, Tanz, (Leicht-)Athletik,;;;;;;;;;;;;;
-4|1/5|(7)|-8|+10|12|+1/12|13|(+14)|(-32);;;;;;;;;;;;;Exfreundin von 2005, Borderlinerin, Abi 1,1 und mit übersinnlichen Transzenenz-Fähigkeiten im Bereich des Sendens (17-25) und Empfangens (10-16);;;
+1/8;Ente (Taoismus, das Prinzip [1/8] Harmonie und Yin und Yang das Prinzip  [1/8]  Dualismus;;;;;;;;;;;;;;;
+5|(-8);;;;;;;;;Babismus;;;;;;;
+1/6|+1/8;;;;;;;;;Jainismus;;;;;;;
1/6|7;;;;;;;;;;;;;;;;
1/6|1/7;;;;;;;;;;;;;;;;
6|1/7;;;;;;;;;;;;;;;;
6|1/6|7;;;;;;;;;;;;;;;;
6|1/6;;;;;;;;;;;;;;;;
1|4;;;;;;;;;;;;;;;;
+2|-4|+6/8|+1/5|+1/6|+7|-10|10|+10|14|15|17|(18)|(19)|21|(22)|26|30|(37);;;;;;;;;;;;;Jupiter 3.0 (ich);;;
+3/2|-4|3/4|1/5|1/6|-6|+7|+10|-10|10|+1/10|14|+18|+19|-21|22|24|+37;;;;;;;;;;;;;Elon Musk;;;
6|7|10;;technischer Zeichner;;;;;;;;;;;;;;
1|5;;;;;;;;;;;;;;;;
1|6;;;;;;;;;;;;;;;;
1|10;;;;;;;;;;;;;;;;
1|7;;;;;;;;;;;;;;;;
10|15;;;vielleicht künstliche Intelligenz, weil: Rekursion + Logik = klassische künstliche Intelligenz (wenn 15 überhaupt auch Rekursion meint);;;;;;;;;;;;;
8|4;;;;;;;;;;;;;;;;
1/6|12;;Reinigungskräfte (Reinheit als ein pures [1/6] und Ordnung [12] die Reinheit impliziert);;;;;;;;;;;;;;
8|10;;;;;;;;;;;;Aufrichtigkeit, Rechtfertigung;;;;
6|8|10;;;;;;;;;;;;;;;;
1/8|10;;;;;;;;;;;;;;;;
1/8|1/10;;;;;;;;;;;;;;;;
-3|-8|-10|17;Menschen;;;;;;;;;;;;;;;
10|17;;;;;;;;;;;;;;;;
7|17;;;;;;;;;;;;;;;;
3|3/4|8|10|15;Menschenaffen und Affen, die statt Meinungen zwischen gut und schön und wertvoll im Denken bleiben;;;;;;;;;;;;;;;
2;alle Tiere, die besondere Fähigkeiten haben, u.a. manche Insekten;;;;;;;;;;;;;;;
3|(4);Ameisen;;;;;;;;;;;;;;;
3|8|10|13|(15);Kapuzineräffchen, Orang-Utans, Affenarten welche sich gegenseitig lausen;;;;;;;;;;;;;;;
12;"vermutlich wahrscheinlich Wale; Lebewesen, die besonders sauber und ordentlich sind und mit vielen Informationen umgehen können";;;;;;;;;;;;;;;
20;höhere Lebensformen, die als Gedanken, statt Meinungen zu haben, die gesamte Familie als einen einzigen Gedanken im Bewusstsein halten können und nur so denken, also als Gedanken etwas ganz anderes als Meinungen haben, dass so ein Familiendenken entsteht, statt dass man als Einzelperson seine Meinung für sich hat.;;;;;;;;;;;;;;;
21;höhere Lebensformen, die als Gedanken, statt Meinungen zu haben, einen ganzen Berufsfachbereich oder eine Bildungsrichtung als einen einzigen Gedanken im Bewusstsein halten können und nur so denken, also als Gedanken etwas ganz anderes als Meinungen haben, dass so ein Arbeitsdenken und Bildungseinrichtungsdenken ensteht, statt dass man als Einzelperson seine Meinung für sich hat.;;;;;;;;;;;;;;;
10|12;;;;;;;;;;;;;;;;
18;höhere Lebensformen, die als Gedanken, statt Meinungen zu haben, Meinungsvergleiche als einen einzigen Gedanken im Bewusstsein halten können und nur so denken, also als Gedanken etwas ganz anderes als Meinungen haben, dass so ein Gruppendenken stattfindet, statt dass man als Einzelperson seine Meinung für sich hat.;;;;;;;;;;;;;;;
19;höhere Lebensformen, die als Gedanken, statt Meinungen zu haben, totale Letztgedanken und Relationen von totalen Letztgedanken als einen einzigen Gedanken im Bewusstsein halten können, wie Ewigkeit oder Maximum von was auch immer, und nur so denken, also als Gedanken etwas ganz anderes als Meinungen haben, dass so ein Subkulturdenken entsteht, statt dass man als Einzelperson seine Meinung für sich hat.;;;;;;;;;;;;;;;
15;Lebewesen, die ein stark ausgeprägtes Denken in den Kategorien: gut, schlecht, schön, wertvoll, einheitlich, wesentlich, richtig, falsch, böse usw. haben.;;;;;;;;;;;;;;;
6|10;Bär;;;;;;;;;;;;;;;
14;Lebewesen, die ein stark ausgeprägtes Denken in den Kategorien: nützlich, Absicht, Fähigkeit, Tätigkeit, Vorteil, Besitz, Eigentum, Selbstlosigkeit, Selbstsucht, Ehrlichkeit, Freundlichkeit, Vereinigungswillen haben;;;;;;;;;;;;;;;
13;Lebewesen, die weniger die Themen unterscheiden, zwischen denen die 14 und 15 Unterscheidungen treffen, sondern sich vielmehr innerhalb so eines Themas bewegen (genauer: ein Paradigma, statt Thema);;;;;;;;;;;;;;;
6|10;;;;;;;;;;;;;;;;
7|10|12;;;;;;;;;;;;;;;;
6|12;;;;;;;;;;;;;;;;
3|10|14;da soll es so eine Affenart geben, die sich durch rumgeheule in den Bergen fortpflanzt (Ich kann mich nur dunkel daran erinnern);;;;;;;;;;;;;;;
-2|-4;;;;;;;;;antiker römische (Jupiter = Jupiter 2.0) und antike ägyptische Religion (Ra);;;;Jupiter = Jupiter 2.0, Ra aus Ägypten;;;
-2;;;;;;;;;antiker römische, Diespiter = Jupiter 1.0;;;;Diespiter = Jupiter 1.0;;;
2|3;;Handwerker;;;;;;;;zugreifen wollen;;;;;;
+10|+17;;Kabarettist;;;;;;;;;;;;;;
+1/5|+10|13|1/14;;Arzt;;;;;;;;;;;;;;
+1/5|+9|10|13;;Arzt, Pfleger, Sozialarbeiter, Volunteer z.B. für dritte Welt-Länder;;;;;;;;;;;;;;
+5|+9|13;;Pfleger, Sozialarbeiter, Volunteer z.B. für dritte Welt-Länder;;;;;;;;;;;;;;
+5|-10|13;;Krankenschwester, Pfleger, Sozialarbeiter;;;;;;;;;;;;;;
1|8;;;;;;;;;;;;;;;;
2|7;;;;;;;;;;Entscheidungen treffen wollen;;;;;;
4|7|10;;Model, Designer, Modeschöpfer;;;;;;;;;;;;;;
2|3|-1/4;Spinne;;;;;;;;;;;;;;;
3|4;;Fischer;;;;;;;;;;;;;;
1/7|1/10;;;;;;;;;;;;;;;;
+6|+7|+10|-12|+13|+17|-18;;Psychologe (im Besten Fall);;;;;;;;;;;;;;
2|4/3;Biber (noch andere Zahlen aber auch) (4/3 = verwenden);;;;;;;;;;;;;;;
17|18;;Schriftsteller, Linguist;;;;;;;;;;;;;;
-3|-6|-8|-10|+10|12|17|18|1/20|(22);Einige Juden, nicht alle Juden sind Forscher (22) oder hoch intellektuelle Geisteswissenschaftler (29);;;;;;;;;;;;;;;
+6|-8|+1/8|-10|+10|12|14|17|18|20;Einige Fern-Ost-Asiaten wie Chinesen, Japaner, Koreaner, Vietnamesen, Thailänder;;;;;;;;;;;;;;;
-3|2|-4|-7|-10|+10|12|17|(18)|(1/20)|21|(25);Einige Europide bzw. „Weiße“, Typ 18 und 1/20 ist schwächer als bei Juden ausgeprägt, Typ 25 ist ein wenig typisch für Europide;;;;;;;;;;;;;;;
1|5|-8|-10|15|17|32;Einige Afrikaner (haben Verstand, aber nicht immer Vernunft);;;;;;;;;;;;;;;
15|17;;;;;;;;;;;;introvertierte Menschen;;;;
5|9|10|13|26|1/6;;Notarzt;;;;;;;;;;;;;;
10|26|1/6;;Pilot;;;;;;;;;;;;;;
+1/5|(+1/9);;;;;;;;;Diskordianismus (halbwegs sicher), Offiziell eigentlich die Gegentranszendentalie -9 „Zwietracht“, aber das ist Ironie.;;;;;;;
6|28;;;;;;;;;;;;;;;;
-2|-5|9|13;Löwe (Wildkatzen, die gegen schwache Wildkatzen ihresgleichen vorgehen sind auch nur Typ 2, 2 ist ja auch Tierkreiszeichen Löwe), Löwen helfen sich gegenseitig gut, also Typ 13;;;;;;;;;;;;;;;
2|-8;Hühner sind u.a. Typ 2, weil sie kranke Hühner tot picken, wahrscheinlich Typ 8, weil der Hahn anscheinend um seine Hühner mit anderen Hähnen kämpft;;;;;;;;;;;;;;;
2|4;;;;;;;;;;;;;;;;
14|20;;;;;;;;;;;;;;;;
4|14;;;;;;;;;;;;;;;;
12|14;;;;;;;;;;;;;;;;
3|7;;;;;;;;;;;;;;;;
2|5;;;;;;;;;;;;;;;;
+6|+2/7;;;;;;;;;Buddhismus;;;;;;;
5|+1/7|-8|-10|+10|16|17|20;manche aus dem sogenannten nahen Osten (Perser, Araber, Osmanen);;;;;;;;;;;;;;;
11|13|14;mehr bei Europiden (en. causasian), aber dennoch selten;;;;;;;;;;;;;;;
24;was Milliardäre haben, Millionäre jedoch nicht im vergleichbarem Maß;Milliardär;;;;;;;;;;;;;;
2|4|-6|-7|-10|+10|17|18|21;Europide aus höheren Schichten;;;;;;;;;;;;;;;
3|8;;;;Objektliebe;;;;;;haben, besitzen wollen;;;;;;
1/7|18|26;;Moderator (TV, Radio, etc.);;;;;;;;;;;;;;
3|8|10;;;;;;;;;;;;;;;;
6|8|10;;;;;;;;;;;;;;;;
2|3;;;;;;;;;;;;;;;;
4|6;;;;;;;;;;;;;;;;
6|8;;;;;;;;;;;;;;;;
2|7;;;;;;;;;;;;;;;;
(2)|(4)|+6|+9|-10|+10|14|+18|+19;manche Inder;;;;;;;;;;;;;;;
-1/5|+6;Honigdachs;;;;;;;;;;;;;;;
7|8|10;;;;;;;;;;;;;;;;
1/8|17;;;;;;;;;;urteilen;;;;;;
8|17;;;;;;;;;;Recht für sich beanspruchen wollen als Position;;;;;;
2|12;;;;;;;;;;;;;;;;
4|1/6|7|10;;;;;;;;;;;;;;;;
4|7;;;;;;;;;;;;;;;;
7|13;;;;;;;;;;;;;;;;
7|15;;;;;;;;;;;;;;;;
7|16;;;;;;;;;;;;;;;;
4|6;;;;;;;;;;;;;;;;
6|13;;;;;;;;;;;;;;;;
2|6;;;;;;;;;;;;;;;;
3|6;;;;;;;;;;;;;;;;
6|11;;;;;;;;;;;;;;;;
6|14;;;;;;;;;;;;;;;;
6|15;;;;;;;;;;;;;;;;
6|16;;;;;;;;;;;;;;;;
6|17;;;;;;;;;;;;;;;;
6|18;;;;;;;;;;;;;;;;
16|17;;;;;;;;;;;;;;;;
4|1/7|8;;;;;;;;;;;;;;;;
2|10;;;;;;;;;;;;;;;;
3|10;;;;;;;;;;;;;;;;
1/2|10;;;;;;;;;;;;;;;;
1/3|10;;;;;;;;;;;;;;;;
12|20;;;;;;;;;;;;;;;;
16|19;;;;;;;;;;;;;;;;
4|1/5;;;;;;;;;;;Beharrlichkeit, Disziplin (kontinuierlich [1/5] und geduldig [4] oder ggf. fleißig [4]);;;;;
+4|+7|+10;Pferde;;;;;;;;;;;;;;;
-3|-4|-8|-10|+10|12|17|18;"Menschen in höher entwickelten Kulturen als Ureinwohner, die von der Zivilisation nichts wissen (Vernunft [10] durch 12 typisiert und Verstand [-10] durch 8 typisiert, deshalb Minus) (Menschen können [2] bereits gut mit der Zeit [4] umgehen 2*4=8, aber moderne Menschen wollen [1] das auch unbedingt 4*1;18: sich an verschiedenartigsten Meinungen anderer angleichen können)";;;;;;;;;;;;;;;
5|1/6|7|10|11|1/15|1/16|1/18|18;;die meisten oder viele Schauspieler;;;;;;;;;;;;;;
+5|+1/7;Schafe, z.B. Widder;;;;;;;;;;;;;;;
+4|+1/8;Tauben;;;;;;;;;;;;;;;
1/5;;Schüler oder Student;;;;;;;;;;;;;;
+7|+1/7;Kuh;;;;;;;;;;;;;;;
4|-7;Wolf;;;;;;;;;;;;;;;
4|+7;Hund;;;;;;;;;;;;;;;
-1/4|-1/5|+6|+1/8|-12|-1/12|+14|1/16|+18|20;einige Japaner;;;;;;;;;;;;;;;
4|21;;;;;;;;;;Workaholic (sein wollen);;;;;;
7|1/7;;;;;;;;;;friedfertig sein wollen;;;;;;
1/7;Schwein;;;;;;;;;;;;;;;
25;Durchschnittsmensch, der nicht zur Mittelschicht oder Oberschicht zählt und einen moderaten Bildungsgrad hat;;;;;;;;;;;;;;;
17;hat jeder Mensch und könnte noch bei manchen Menschenaffen leicht ausgeprägt sein;;;;;;;;;;;;;;;
23;ist bei wenigen Eliten vertreten und selten;;;;;;;;;;;;;;;
+10|-10|10|+7;;Philosoph, Schriftsteller (ggf. teilweise -7 statt +7), Schöngeist [alle: Vernunft (+10 definiert durch 12), Verstand (-10 definiert durch 8) und Erkenntniswille (+wirklich)10 definiert durch 10];;;;;;;;;;;Olaf Scholz;;;
1|2|5;;;;;;;;;Hexentum;;;;;;;
+6|-10|+10|10|+12|17|+18|+28;;;;;;;;;;;;;Sadhgruru;;;
1/16|1/21;Amerikaner im Gegensatz zu vielen Europäern;;;;;;;;;;;;;;;
1/17|18|21;;Regisseur;;;;;;;;;;;;;;
6/7|7/6|-6;;Händler;;;;;;;;;;;;;;
7/6|-1/8;;staatliche Behörden für Unternehmer und Selbstständige;;;;;;;;;;;;;;
6/7|18;;Steuerberater, Unternehmensberater, Anlageberater;;;;;;;;;;;;;;
4|17;;;;;;;;;;Spekulieren über Vergangenheit und Zukunft;;;;;;
22|1/21;;Kolonist;;;;;;;;;;;;;;
1/6|10|12|13|1/14|16|26;;Oberärzte;;;;;;;;;;;;;;
2|4|1/5|+6|1/6|(7)|-10|+10|(19)|21|38;;;;;;;;;;;;;Siraj Raval ;;;
15;"Hirsch und Gnu (, welche jedoch noch aus weiteren Zahlen bestehen); nicht alle Tiere mit Hörnern, sondern meist nur im Sinn von Selbstrespekt";;;;;;;;;;;;;;;
